4677: T2_2H_BOW                                                        : Novice's Bow
4718: T8_2H_WARBOW@3                                                   : Elder's Warbow
4719: T4_2H_LONGBOW                                                    : Adept's Longbow
4720: T4_2H_LONGBOW@1                                                  : Adept's Longbow
4721: T4_2H_LONGBOW@2                                                  : Adept's Longbow
4722: T4_2H_LONGBOW@3                                                  : Adept's Longbow
4723: T5_2H_LONGBOW                                                    : Expert's Longbow
4724: T5_2H_LONGBOW@1                                                  : Expert's Longbow
4725: T5_2H_LONGBOW@2                                                  : Expert's Longbow
4726: T5_2H_LONGBOW@3                                                  : Expert's Longbow
4727: T6_2H_LONGBOW                                                    : Master's Longbow
4728: T6_2H_LONGBOW@1                                                  : Master's Longbow
4729: T6_2H_LONGBOW@2                                                  : Master's Longbow
4730: T6_2H_LONGBOW@3                                                  : Master's Longbow
4731: T7_2H_LONGBOW                                                    : Grandmaster's Longbow
4732: T7_2H_LONGBOW@1                                                  : Grandmaster's Longbow
4733: T7_2H_LONGBOW@2                                                  : Grandmaster's Longbow
4734: T7_2H_LONGBOW@3                                                  : Grandmaster's Longbow
4735: T8_2H_LONGBOW                                                    : Elder's Longbow
4736: T8_2H_LONGBOW@1                                                  : Elder's Longbow
4737: T8_2H_LONGBOW@2                                                  : Elder's Longbow
4738: T8_2H_LONGBOW@3                                                  : Elder's Longbow
4739: T4_2H_LONGBOW_UNDEAD                                             : Adept's Whispering Bow
4740: T4_2H_LONGBOW_UNDEAD@1                                           : Adept's Whispering Bow
4741: T4_2H_LONGBOW_UNDEAD@2                                           : Adept's Whispering Bow
4742: T4_2H_LONGBOW_UNDEAD@3                                           : Adept's Whispering Bow
4743: T5_2H_LONGBOW_UNDEAD                                             : Expert's Whispering Bow
4744: T5_2H_LONGBOW_UNDEAD@1                                           : Expert's Whispering Bow
4745: T5_2H_LONGBOW_UNDEAD@2                                           : Expert's Whispering Bow
4746: T5_2H_LONGBOW_UNDEAD@3                                           : Expert's Whispering Bow
4747: T6_2H_LONGBOW_UNDEAD                                             : Master's Whispering Bow
4748: T6_2H_LONGBOW_UNDEAD@1                                           : Master's Whispering Bow
4749: T6_2H_LONGBOW_UNDEAD@2                                           : Master's Whispering Bow
4750: T6_2H_LONGBOW_UNDEAD@3                                           : Master's Whispering Bow
4751: T7_2H_LONGBOW_UNDEAD                                             : Grandmaster's Whispering Bow
4752: T7_2H_LONGBOW_UNDEAD@1                                           : Grandmaster's Whispering Bow
4753: T7_2H_LONGBOW_UNDEAD@2                                           : Grandmaster's Whispering Bow
4754: T7_2H_LONGBOW_UNDEAD@3                                           : Grandmaster's Whispering Bow
4755: T8_2H_LONGBOW_UNDEAD                                             : Elder's Whispering Bow
4756: T8_2H_LONGBOW_UNDEAD@1                                           : Elder's Whispering Bow
4757: T8_2H_LONGBOW_UNDEAD@2                                           : Elder's Whispering Bow
4758: T8_2H_LONGBOW_UNDEAD@3                                           : Elder's Whispering Bow
4759: T4_2H_BOW_HELL                                                   : Adept's Wailing Bow
4760: T4_2H_BOW_HELL@1                                                 : Adept's Wailing Bow
4761: T4_2H_BOW_HELL@2                                                 : Adept's Wailing Bow
4762: T4_2H_BOW_HELL@3                                                 : Adept's Wailing Bow
4763: T5_2H_BOW_HELL                                                   : Expert's Wailing Bow
4764: T5_2H_BOW_HELL@1                                                 : Expert's Wailing Bow
4765: T5_2H_BOW_HELL@2                                                 : Expert's Wailing Bow
4766: T5_2H_BOW_HELL@3                                                 : Expert's Wailing Bow
4767: T6_2H_BOW_HELL                                                   : Master's Wailing Bow
4768: T6_2H_BOW_HELL@1                                                 : Master's Wailing Bow
4769: T6_2H_BOW_HELL@2                                                 : Master's Wailing Bow
4770: T6_2H_BOW_HELL@3                                                 : Master's Wailing Bow
4771: T7_2H_BOW_HELL                                                   : Grandmaster's Wailing Bow
4772: T7_2H_BOW_HELL@1                                                 : Grandmaster's Wailing Bow
4773: T7_2H_BOW_HELL@2                                                 : Grandmaster's Wailing Bow
4774: T7_2H_BOW_HELL@3                                                 : Grandmaster's Wailing Bow
4775: T8_2H_BOW_HELL                                                   : Elder's Wailing Bow
4776: T8_2H_BOW_HELL@1                                                 : Elder's Wailing Bow
4777: T8_2H_BOW_HELL@2                                                 : Elder's Wailing Bow
4778: T8_2H_BOW_HELL@3                                                 : Elder's Wailing Bow
4779: T4_2H_BOW_KEEPER                                                 : Adept's Bow of Badon
4780: T4_2H_BOW_KEEPER@1                                               : Adept's Bow of Badon
4781: T4_2H_BOW_KEEPER@2                                               : Adept's Bow of Badon
4782: T4_2H_BOW_KEEPER@3                                               : Adept's Bow of Badon
4783: T5_2H_BOW_KEEPER                                                 : Expert's Bow of Badon
4784: T5_2H_BOW_KEEPER@1                                               : Expert's Bow of Badon
4785: T5_2H_BOW_KEEPER@2                                               : Expert's Bow of Badon
4786: T5_2H_BOW_KEEPER@3                                               : Expert's Bow of Badon
4787: T6_2H_BOW_KEEPER                                                 : Master's Bow of Badon
4788: T6_2H_BOW_KEEPER@1                                               : Master's Bow of Badon
4789: T6_2H_BOW_KEEPER@2                                               : Master's Bow of Badon
4790: T6_2H_BOW_KEEPER@3                                               : Master's Bow of Badon
4791: T7_2H_BOW_KEEPER                                                 : Grandmaster's Bow of Badon
4792: T7_2H_BOW_KEEPER@1                                               : Grandmaster's Bow of Badon
4793: T7_2H_BOW_KEEPER@2                                               : Grandmaster's Bow of Badon
4794: T7_2H_BOW_KEEPER@3                                               : Grandmaster's Bow of Badon
4795: T8_2H_BOW_KEEPER                                                 : Elder's Bow of Badon
4796: T8_2H_BOW_KEEPER@1                                               : Elder's Bow of Badon
4797: T8_2H_BOW_KEEPER@2                                               : Elder's Bow of Badon
4798: T8_2H_BOW_KEEPER@3                                               : Elder's Bow of Badon
4799: T4_2H_BOW_AVALON                                                 : Adept's Mistpiercer
4800: T4_2H_BOW_AVALON@1                                               : Adept's Mistpiercer
4801: T4_2H_BOW_AVALON@2                                               : Adept's Mistpiercer
4802: T4_2H_BOW_AVALON@3                                               : Adept's Mistpiercer
4803: T5_2H_BOW_AVALON                                                 : Expert's Mistpiercer
4804: T5_2H_BOW_AVALON@1                                               : Expert's Mistpiercer
4805: T5_2H_BOW_AVALON@2                                               : Expert's Mistpiercer
4806: T5_2H_BOW_AVALON@3                                               : Expert's Mistpiercer
4807: T6_2H_BOW_AVALON                                                 : Master's Mistpiercer
4808: T6_2H_BOW_AVALON@1                                               : Master's Mistpiercer
4809: T6_2H_BOW_AVALON@2                                               : Master's Mistpiercer
4810: T6_2H_BOW_AVALON@3                                               : Master's Mistpiercer
4811: T7_2H_BOW_AVALON                                                 : Grandmaster's Mistpiercer
4812: T7_2H_BOW_AVALON@1                                               : Grandmaster's Mistpiercer
4813: T7_2H_BOW_AVALON@2                                               : Grandmaster's Mistpiercer
4814: T7_2H_BOW_AVALON@3                                               : Grandmaster's Mistpiercer
4815: T8_2H_BOW_AVALON                                                 : Elder's Mistpiercer
4816: T8_2H_BOW_AVALON@1                                               : Elder's Mistpiercer
4817: T8_2H_BOW_AVALON@2                                               : Elder's Mistpiercer
4818: T8_2H_BOW_AVALON@3                                               : Elder's Mistpiercer
4819: T3_2H_CROSSBOW                                                   : Journeyman's Crossbow
4820: T4_2H_CROSSBOW                                                   : Adept's Crossbow
4821: T4_2H_CROSSBOW@1                                                 : Adept's Crossbow
4822: T4_2H_CROSSBOW@2                                                 : Adept's Crossbow
4823: T4_2H_CROSSBOW@3                                                 : Adept's Crossbow
4824: T5_2H_CROSSBOW                                                   : Expert's Crossbow
4825: T5_2H_CROSSBOW@1                                                 : Expert's Crossbow
4826: T5_2H_CROSSBOW@2                                                 : Expert's Crossbow
4827: T5_2H_CROSSBOW@3                                                 : Expert's Crossbow
4828: T6_2H_CROSSBOW                                                   : Master's Crossbow
4829: T6_2H_CROSSBOW@1                                                 : Master's Crossbow
4830: T6_2H_CROSSBOW@2                                                 : Master's Crossbow
4831: T6_2H_CROSSBOW@3                                                 : Master's Crossbow
4832: T7_2H_CROSSBOW                                                   : Grandmaster's Crossbow
4833: T7_2H_CROSSBOW@1                                                 : Grandmaster's Crossbow
4834: T7_2H_CROSSBOW@2                                                 : Grandmaster's Crossbow
4835: T7_2H_CROSSBOW@3                                                 : Grandmaster's Crossbow
4836: T8_2H_CROSSBOW                                                   : Elder's Crossbow
4837: T8_2H_CROSSBOW@1                                                 : Elder's Crossbow
4838: T8_2H_CROSSBOW@2                                                 : Elder's Crossbow
4839: T8_2H_CROSSBOW@3                                                 : Elder's Crossbow
4840: T4_2H_CROSSBOWLARGE                                              : Adept's Heavy Crossbow
4841: T4_2H_CROSSBOWLARGE@1                                            : Adept's Heavy Crossbow
4842: T4_2H_CROSSBOWLARGE@2                                            : Adept's Heavy Crossbow
4843: T4_2H_CROSSBOWLARGE@3                                            : Adept's Heavy Crossbow
4844: T5_2H_CROSSBOWLARGE                                              : Expert's Heavy Crossbow
4845: T5_2H_CROSSBOWLARGE@1                                            : Expert's Heavy Crossbow
4846: T5_2H_CROSSBOWLARGE@2                                            : Expert's Heavy Crossbow
4847: T5_2H_CROSSBOWLARGE@3                                            : Expert's Heavy Crossbow
4848: T6_2H_CROSSBOWLARGE                                              : Master's Heavy Crossbow
4849: T6_2H_CROSSBOWLARGE@1                                            : Master's Heavy Crossbow
4850: T6_2H_CROSSBOWLARGE@2                                            : Master's Heavy Crossbow
4851: T6_2H_CROSSBOWLARGE@3                                            : Master's Heavy Crossbow
4852: T7_2H_CROSSBOWLARGE                                              : Grandmaster's Heavy Crossbow
4853: T7_2H_CROSSBOWLARGE@1                                            : Grandmaster's Heavy Crossbow
4854: T7_2H_CROSSBOWLARGE@2                                            : Grandmaster's Heavy Crossbow
4855: T7_2H_CROSSBOWLARGE@3                                            : Grandmaster's Heavy Crossbow
4856: T8_2H_CROSSBOWLARGE                                              : Elder's Heavy Crossbow
4857: T8_2H_CROSSBOWLARGE@1                                            : Elder's Heavy Crossbow
4858: T8_2H_CROSSBOWLARGE@2                                            : Elder's Heavy Crossbow
4859: T8_2H_CROSSBOWLARGE@3                                            : Elder's Heavy Crossbow
4860: T4_MAIN_1HCROSSBOW                                               : Adept's Light Crossbow
4861: T4_MAIN_1HCROSSBOW@1                                             : Adept's Light Crossbow
4862: T4_MAIN_1HCROSSBOW@2                                             : Adept's Light Crossbow
4863: T4_MAIN_1HCROSSBOW@3                                             : Adept's Light Crossbow
4864: T5_MAIN_1HCROSSBOW                                               : Expert's Light Crossbow
4865: T5_MAIN_1HCROSSBOW@1                                             : Expert's Light Crossbow
4866: T5_MAIN_1HCROSSBOW@2                                             : Expert's Light Crossbow
4867: T5_MAIN_1HCROSSBOW@3                                             : Expert's Light Crossbow
4868: T6_MAIN_1HCROSSBOW                                               : Master's Light Crossbow
4869: T6_MAIN_1HCROSSBOW@1                                             : Master's Light Crossbow
4870: T6_MAIN_1HCROSSBOW@2                                             : Master's Light Crossbow
4871: T6_MAIN_1HCROSSBOW@3                                             : Master's Light Crossbow
4872: T7_MAIN_1HCROSSBOW                                               : Grandmaster's Light Crossbow
4873: T7_MAIN_1HCROSSBOW@1                                             : Grandmaster's Light Crossbow
4874: T7_MAIN_1HCROSSBOW@2                                             : Grandmaster's Light Crossbow
4875: T7_MAIN_1HCROSSBOW@3                                             : Grandmaster's Light Crossbow
4876: T8_MAIN_1HCROSSBOW                                               : Elder's Light Crossbow
4877: T8_MAIN_1HCROSSBOW@1                                             : Elder's Light Crossbow
4878: T8_MAIN_1HCROSSBOW@2                                             : Elder's Light Crossbow
4879: T8_MAIN_1HCROSSBOW@3                                             : Elder's Light Crossbow
4880: T4_2H_REPEATINGCROSSBOW_UNDEAD                                   : Adept's Weeping Repeater
4881: T4_2H_REPEATINGCROSSBOW_UNDEAD@1                                 : Adept's Weeping Repeater
4882: T4_2H_REPEATINGCROSSBOW_UNDEAD@2                                 : Adept's Weeping Repeater
4883: T4_2H_REPEATINGCROSSBOW_UNDEAD@3                                 : Adept's Weeping Repeater
4884: T5_2H_REPEATINGCROSSBOW_UNDEAD                                   : Expert's Weeping Repeater
4885: T5_2H_REPEATINGCROSSBOW_UNDEAD@1                                 : Expert's Weeping Repeater
4886: T5_2H_REPEATINGCROSSBOW_UNDEAD@2                                 : Expert's Weeping Repeater
4887: T5_2H_REPEATINGCROSSBOW_UNDEAD@3                                 : Expert's Weeping Repeater
4888: T6_2H_REPEATINGCROSSBOW_UNDEAD                                   : Master's Weeping Repeater
4889: T6_2H_REPEATINGCROSSBOW_UNDEAD@1                                 : Master's Weeping Repeater
4890: T6_2H_REPEATINGCROSSBOW_UNDEAD@2                                 : Master's Weeping Repeater
4891: T6_2H_REPEATINGCROSSBOW_UNDEAD@3                                 : Master's Weeping Repeater
4892: T7_2H_REPEATINGCROSSBOW_UNDEAD                                   : Grandmaster's Weeping Repeater
4893: T7_2H_REPEATINGCROSSBOW_UNDEAD@1                                 : Grandmaster's Weeping Repeater
4894: T7_2H_REPEATINGCROSSBOW_UNDEAD@2                                 : Grandmaster's Weeping Repeater
4895: T7_2H_REPEATINGCROSSBOW_UNDEAD@3                                 : Grandmaster's Weeping Repeater
4896: T8_2H_REPEATINGCROSSBOW_UNDEAD                                   : Elder's Weeping Repeater
4897: T8_2H_REPEATINGCROSSBOW_UNDEAD@1                                 : Elder's Weeping Repeater
4898: T8_2H_REPEATINGCROSSBOW_UNDEAD@2                                 : Elder's Weeping Repeater
4899: T8_2H_REPEATINGCROSSBOW_UNDEAD@3                                 : Elder's Weeping Repeater
4900: T4_2H_DUALCROSSBOW_HELL                                          : Adept's Boltcasters
4901: T4_2H_DUALCROSSBOW_HELL@1                                        : Adept's Boltcasters
4902: T4_2H_DUALCROSSBOW_HELL@2                                        : Adept's Boltcasters
4903: T4_2H_DUALCROSSBOW_HELL@3                                        : Adept's Boltcasters
4904: T5_2H_DUALCROSSBOW_HELL                                          : Expert's Boltcasters
4905: T5_2H_DUALCROSSBOW_HELL@1                                        : Expert's Boltcasters
4906: T5_2H_DUALCROSSBOW_HELL@2                                        : Expert's Boltcasters
4907: T5_2H_DUALCROSSBOW_HELL@3                                        : Expert's Boltcasters
4908: T6_2H_DUALCROSSBOW_HELL                                          : Master's Boltcasters
4909: T6_2H_DUALCROSSBOW_HELL@1                                        : Master's Boltcasters
4910: T6_2H_DUALCROSSBOW_HELL@2                                        : Master's Boltcasters
4911: T6_2H_DUALCROSSBOW_HELL@3                                        : Master's Boltcasters
4912: T7_2H_DUALCROSSBOW_HELL                                          : Grandmaster's Boltcasters
4913: T7_2H_DUALCROSSBOW_HELL@1                                        : Grandmaster's Boltcasters
4914: T7_2H_DUALCROSSBOW_HELL@2                                        : Grandmaster's Boltcasters
4915: T7_2H_DUALCROSSBOW_HELL@3                                        : Grandmaster's Boltcasters
4916: T8_2H_DUALCROSSBOW_HELL                                          : Elder's Boltcasters
4917: T8_2H_DUALCROSSBOW_HELL@1                                        : Elder's Boltcasters
4918: T8_2H_DUALCROSSBOW_HELL@2                                        : Elder's Boltcasters
4919: T8_2H_DUALCROSSBOW_HELL@3                                        : Elder's Boltcasters
4920: T4_2H_CROSSBOWLARGE_MORGANA                                      : Adept's Siegebow
4921: T4_2H_CROSSBOWLARGE_MORGANA@1                                    : Adept's Siegebow
4922: T4_2H_CROSSBOWLARGE_MORGANA@2                                    : Adept's Siegebow
4923: T4_2H_CROSSBOWLARGE_MORGANA@3                                    : Adept's Siegebow
4924: T5_2H_CROSSBOWLARGE_MORGANA                                      : Expert's Siegebow
4925: T5_2H_CROSSBOWLARGE_MORGANA@1                                    : Expert's Siegebow
4926: T5_2H_CROSSBOWLARGE_MORGANA@2                                    : Expert's Siegebow
4927: T5_2H_CROSSBOWLARGE_MORGANA@3                                    : Expert's Siegebow
4928: T6_2H_CROSSBOWLARGE_MORGANA                                      : Master's Siegebow
4929: T6_2H_CROSSBOWLARGE_MORGANA@1                                    : Master's Siegebow
4930: T6_2H_CROSSBOWLARGE_MORGANA@2                                    : Master's Siegebow
4931: T6_2H_CROSSBOWLARGE_MORGANA@3                                    : Master's Siegebow
4932: T7_2H_CROSSBOWLARGE_MORGANA                                      : Grandmaster's Siegebow
4933: T7_2H_CROSSBOWLARGE_MORGANA@1                                    : Grandmaster's Siegebow
4934: T7_2H_CROSSBOWLARGE_MORGANA@2                                    : Grandmaster's Siegebow
4935: T7_2H_CROSSBOWLARGE_MORGANA@3                                    : Grandmaster's Siegebow
4936: T8_2H_CROSSBOWLARGE_MORGANA                                      : Elder's Siegebow
4937: T8_2H_CROSSBOWLARGE_MORGANA@1                                    : Elder's Siegebow
4938: T8_2H_CROSSBOWLARGE_MORGANA@2                                    : Elder's Siegebow
4939: T8_2H_CROSSBOWLARGE_MORGANA@3                                    : Elder's Siegebow
4940: T4_2H_CROSSBOW_CANNON_AVALON                                     : Adept's Energy Shaper
4941: T4_2H_CROSSBOW_CANNON_AVALON@1                                   : Adept's Energy Shaper
4942: T4_2H_CROSSBOW_CANNON_AVALON@2                                   : Adept's Energy Shaper
4943: T4_2H_CROSSBOW_CANNON_AVALON@3                                   : Adept's Energy Shaper
4944: T5_2H_CROSSBOW_CANNON_AVALON                                     : Expert's Energy Shaper
4945: T5_2H_CROSSBOW_CANNON_AVALON@1                                   : Expert's Energy Shaper
4946: T5_2H_CROSSBOW_CANNON_AVALON@2                                   : Expert's Energy Shaper
4947: T5_2H_CROSSBOW_CANNON_AVALON@3                                   : Expert's Energy Shaper
4948: T6_2H_CROSSBOW_CANNON_AVALON                                     : Master's Energy Shaper
4949: T6_2H_CROSSBOW_CANNON_AVALON@1                                   : Master's Energy Shaper
4950: T6_2H_CROSSBOW_CANNON_AVALON@2                                   : Master's Energy Shaper
4951: T6_2H_CROSSBOW_CANNON_AVALON@3                                   : Master's Energy Shaper
4952: T7_2H_CROSSBOW_CANNON_AVALON                                     : Grandmaster's Energy Shaper
4953: T7_2H_CROSSBOW_CANNON_AVALON@1                                   : Grandmaster's Energy Shaper
4954: T7_2H_CROSSBOW_CANNON_AVALON@2                                   : Grandmaster's Energy Shaper
4955: T7_2H_CROSSBOW_CANNON_AVALON@3                                   : Grandmaster's Energy Shaper
4956: T8_2H_CROSSBOW_CANNON_AVALON                                     : Elder's Energy Shaper
4957: T8_2H_CROSSBOW_CANNON_AVALON@1                                   : Elder's Energy Shaper
4958: T8_2H_CROSSBOW_CANNON_AVALON@2                                   : Elder's Energy Shaper
4959: T8_2H_CROSSBOW_CANNON_AVALON@3                                   : Elder's Energy Shaper
4960: T3_MAIN_CURSEDSTAFF                                              : Journeyman's Cursed Staff
4961: T4_MAIN_CURSEDSTAFF                                              : Adept's Cursed Staff
4962: T4_MAIN_CURSEDSTAFF@1                                            : Adept's Cursed Staff
4963: T4_MAIN_CURSEDSTAFF@2                                            : Adept's Cursed Staff
4964: T4_MAIN_CURSEDSTAFF@3                                            : Adept's Cursed Staff
4965: T5_MAIN_CURSEDSTAFF                                              : Expert's Cursed Staff
4966: T5_MAIN_CURSEDSTAFF@1                                            : Expert's Cursed Staff
4967: T5_MAIN_CURSEDSTAFF@2                                            : Expert's Cursed Staff
4968: T5_MAIN_CURSEDSTAFF@3                                            : Expert's Cursed Staff
4969: T6_MAIN_CURSEDSTAFF                                              : Master's Cursed Staff
4970: T6_MAIN_CURSEDSTAFF@1                                            : Master's Cursed Staff
4971: T6_MAIN_CURSEDSTAFF@2                                            : Master's Cursed Staff
4972: T6_MAIN_CURSEDSTAFF@3                                            : Master's Cursed Staff
4973: T7_MAIN_CURSEDSTAFF                                              : Grandmaster's Cursed Staff
4974: T7_MAIN_CURSEDSTAFF@1                                            : Grandmaster's Cursed Staff
4975: T7_MAIN_CURSEDSTAFF@2                                            : Grandmaster's Cursed Staff
4976: T7_MAIN_CURSEDSTAFF@3                                            : Grandmaster's Cursed Staff
4977: T8_MAIN_CURSEDSTAFF                                              : Elder's Cursed Staff
4978: T8_MAIN_CURSEDSTAFF@1                                            : Elder's Cursed Staff
4979: T8_MAIN_CURSEDSTAFF@2                                            : Elder's Cursed Staff
4980: T8_MAIN_CURSEDSTAFF@3                                            : Elder's Cursed Staff
4981: T4_2H_CURSEDSTAFF                                                : Adept's Great Cursed Staff
4982: T4_2H_CURSEDSTAFF@1                                              : Adept's Great Cursed Staff
4983: T4_2H_CURSEDSTAFF@2                                              : Adept's Great Cursed Staff
4984: T4_2H_CURSEDSTAFF@3                                              : Adept's Great Cursed Staff
4985: T5_2H_CURSEDSTAFF                                                : Expert's Great Cursed Staff
4986: T5_2H_CURSEDSTAFF@1                                              : Expert's Great Cursed Staff
4987: T5_2H_CURSEDSTAFF@2                                              : Expert's Great Cursed Staff
4988: T5_2H_CURSEDSTAFF@3                                              : Expert's Great Cursed Staff
4989: T6_2H_CURSEDSTAFF                                                : Master's Great Cursed Staff
4990: T6_2H_CURSEDSTAFF@1                                              : Master's Great Cursed Staff
4991: T6_2H_CURSEDSTAFF@2                                              : Master's Great Cursed Staff
4992: T6_2H_CURSEDSTAFF@3                                              : Master's Great Cursed Staff
4993: T7_2H_CURSEDSTAFF                                                : Grandmaster's Great Cursed Staff
4994: T7_2H_CURSEDSTAFF@1                                              : Grandmaster's Great Cursed Staff
4995: T7_2H_CURSEDSTAFF@2                                              : Grandmaster's Great Cursed Staff
4996: T7_2H_CURSEDSTAFF@3                                              : Grandmaster's Great Cursed Staff
4997: T8_2H_CURSEDSTAFF                                                : Elder's Great Cursed Staff
4998: T8_2H_CURSEDSTAFF@1                                              : Elder's Great Cursed Staff
4999: T8_2H_CURSEDSTAFF@2                                              : Elder's Great Cursed Staff
5000: T8_2H_CURSEDSTAFF@3                                              : Elder's Great Cursed Staff
5001: T4_2H_DEMONICSTAFF                                               : Adept's Demonic Staff
5002: T4_2H_DEMONICSTAFF@1                                             : Adept's Demonic Staff
5003: T4_2H_DEMONICSTAFF@2                                             : Adept's Demonic Staff
5004: T4_2H_DEMONICSTAFF@3                                             : Adept's Demonic Staff
5005: T5_2H_DEMONICSTAFF                                               : Expert's Demonic Staff
5006: T5_2H_DEMONICSTAFF@1                                             : Expert's Demonic Staff
5007: T5_2H_DEMONICSTAFF@2                                             : Expert's Demonic Staff
5008: T5_2H_DEMONICSTAFF@3                                             : Expert's Demonic Staff
5009: T6_2H_DEMONICSTAFF                                               : Master's Demonic Staff
5010: T6_2H_DEMONICSTAFF@1                                             : Master's Demonic Staff
5011: T6_2H_DEMONICSTAFF@2                                             : Master's Demonic Staff
5012: T6_2H_DEMONICSTAFF@3                                             : Master's Demonic Staff
5013: T7_2H_DEMONICSTAFF                                               : Grandmaster's Demonic Staff
5014: T7_2H_DEMONICSTAFF@1                                             : Grandmaster's Demonic Staff
5015: T7_2H_DEMONICSTAFF@2                                             : Grandmaster's Demonic Staff
5016: T7_2H_DEMONICSTAFF@3                                             : Grandmaster's Demonic Staff
5017: T8_2H_DEMONICSTAFF                                               : Elder's Demonic Staff
5018: T8_2H_DEMONICSTAFF@1                                             : Elder's Demonic Staff
5019: T8_2H_DEMONICSTAFF@2                                             : Elder's Demonic Staff
5020: T8_2H_DEMONICSTAFF@3                                             : Elder's Demonic Staff
5021: T4_MAIN_CURSEDSTAFF_UNDEAD                                       : Adept's Lifecurse Staff
5022: T4_MAIN_CURSEDSTAFF_UNDEAD@1                                     : Adept's Lifecurse Staff
5023: T4_MAIN_CURSEDSTAFF_UNDEAD@2                                     : Adept's Lifecurse Staff
5024: T4_MAIN_CURSEDSTAFF_UNDEAD@3                                     : Adept's Lifecurse Staff
5025: T5_MAIN_CURSEDSTAFF_UNDEAD                                       : Expert's Lifecurse Staff
5026: T5_MAIN_CURSEDSTAFF_UNDEAD@1                                     : Expert's Lifecurse Staff
5027: T5_MAIN_CURSEDSTAFF_UNDEAD@2                                     : Expert's Lifecurse Staff
5028: T5_MAIN_CURSEDSTAFF_UNDEAD@3                                     : Expert's Lifecurse Staff
5029: T6_MAIN_CURSEDSTAFF_UNDEAD                                       : Master's Lifecurse Staff
5030: T6_MAIN_CURSEDSTAFF_UNDEAD@1                                     : Master's Lifecurse Staff
5031: T6_MAIN_CURSEDSTAFF_UNDEAD@2                                     : Master's Lifecurse Staff
5032: T6_MAIN_CURSEDSTAFF_UNDEAD@3                                     : Master's Lifecurse Staff
5033: T7_MAIN_CURSEDSTAFF_UNDEAD                                       : Grandmaster's Lifecurse Staff
5034: T7_MAIN_CURSEDSTAFF_UNDEAD@1                                     : Grandmaster's Lifecurse Staff
5035: T7_MAIN_CURSEDSTAFF_UNDEAD@2                                     : Grandmaster's Lifecurse Staff
5036: T7_MAIN_CURSEDSTAFF_UNDEAD@3                                     : Grandmaster's Lifecurse Staff
5037: T8_MAIN_CURSEDSTAFF_UNDEAD                                       : Elder's Lifecurse Staff
5038: T8_MAIN_CURSEDSTAFF_UNDEAD@1                                     : Elder's Lifecurse Staff
5039: T8_MAIN_CURSEDSTAFF_UNDEAD@2                                     : Elder's Lifecurse Staff
5040: T8_MAIN_CURSEDSTAFF_UNDEAD@3                                     : Elder's Lifecurse Staff
5041: T4_2H_SKULLORB_HELL                                              : Adept's Cursed Skull
5042: T4_2H_SKULLORB_HELL@1                                            : Adept's Cursed Skull
5043: T4_2H_SKULLORB_HELL@2                                            : Adept's Cursed Skull
5044: T4_2H_SKULLORB_HELL@3                                            : Adept's Cursed Skull
5045: T5_2H_SKULLORB_HELL                                              : Expert's Cursed Skull
5046: T5_2H_SKULLORB_HELL@1                                            : Expert's Cursed Skull
